Event_Group_ID,Event_ID,Data_ID,Park_Code,Route,Start_Date,Year,Group_Index,Route Section,Route_Length,DistanceToDeer,Angle,DistanceFromRoad,Bucks,Doe,Fawn,Unknown,Total_Group,Import_Event_ID,Mileage,Time,Date_Time_Entered,Verified,Wind Speed,Sky,Moon_Phase,Temperature,Event_Notes
{BB48F395-559B-41C2-97F0-8B27D572AE17},{1F6ED4E5-7087-434A-BD93-A239DC4A2CB3},{F6B63FE4-B940-4373-848F-401A77519F45},CATO,CATO,10/22/01,2001,61,Park Central,7.564,27,90,27,0,3,0,0,3,,,,,TRUE,,Partly Cloudy,Half Moon,71
{BB48F395-559B-41C2-97F0-8B27D572AE17},{1F6ED4E5-7087-434A-BD93-A239DC4A2CB3},{F5B5E90B-5378-443B-8412-69163E05F2FA},CATO,CATO,10/22/01,2001,62,Park Central,7.564,45,90,45,0,0,0,1,1,,,,,TRUE,,Partly Cloudy,Half Moon,71
{BB48F395-559B-41C2-97F0-8B27D572AE17},{1F6ED4E5-7087-434A-BD93-A239DC4A2CB3},{F24CC29A-2A01-4E89-BF00-79B794A1B7BD},CATO,CATO,10/22/01,2001,63,Park Central,7.564,41,90,41,0,1,0,0,1,,,,,TRUE,,Partly Cloudy,Half Moon,71
{BB48F395-559B-41C2-97F0-8B27D572AE17},{1F6ED4E5-7087-434A-BD93-A239DC4A2CB3},{D7558959-6E48-4781-BDC2-D96266212C93},CATO,CATO,10/22/01,2001,64,Park Central,7.564,70,90,70,0,0,0,2,2,,,,,TRUE,,Partly Cloudy,Half Moon,71
{BB48F395-559B-41C2-97F0-8B27D572AE17},{1F6ED4E5-7087-434A-BD93-A239DC4A2CB3},{D012ED57-9E31-473F-9BEB-60C2511F1C84},CATO,CATO,10/22/01,2001,65,Park Central,7.564,40,90,40,0,0,0,2,2,,,,,TRUE,,Partly Cloudy,Half Moon,71
{BB48F395-559B-41C2-97F0-8B27D572AE17},{1F6ED4E5-7087-434A-BD93-A239DC4A2CB3},{CE13C6E2-DD73-46C6-98DD-CB1162171781},CATO,CATO,10/22/01,2001,66,Park Central,7.564,72,90,72,0,0,0,2,2,,,,,TRUE,,Partly Cloudy,Half Moon,71
{BB48F395-559B-41C2-97F0-8B27D572AE17},{1F6ED4E5-7087-434A-BD93-A239DC4A2CB3},{C966208A-A3D0-4AAE-9722-384F98A0749E},CATO,CATO,10/22/01,2001,67,Park Central,7.564,44,90,44,0,1,0,1,2,,,,,TRUE,,Partly Cloudy,Half Moon,71
{BB48F395-559B-41C2-97F0-8B27D572AE17},{1F6ED4E5-7087-434A-BD93-A239DC4A2CB3},{C43472C1-A898-4D5F-A63D-D75B90139EAB},CATO,CATO,10/22/01,2001,68,Park Central,7.564,26,90,26,0,6,2,0,8,,,,,TRUE,,Partly Cloudy,Half Moon,71
{BB48F395-559B-41C2-97F0-8B27D572AE17},{1F6ED4E5-7087-434A-BD93-A239DC4A2CB3},{AC05EDFC-341C-47DC-B6B5-03180F4A513D},CATO,CATO,10/22/01,2001,69,Park Central,7.564,31,90,31,0,1,0,0,1,,,,,TRUE,,Partly Cloudy,Half Moon,71
{BB48F395-559B-41C2-97F0-8B27D572AE17},{1F6ED4E5-7087-434A-BD93-A239DC4A2CB3},{BCD13A01-4E89-43AD-9C4E-2BD6E0543C82},CATO,CATO,10/22/01,2001,70,Park Central,7.564,51,90,51,0,0,0,3,3,,,,,TRUE,,Partly Cloudy,Half Moon,71
